|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 47: 19610831		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 47: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 47: 015708		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 48: 19610906		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 48: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 48: 153020		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 49: 19610912		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 49: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 49: 111825		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 50: 19611011		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 50: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 50: 122835		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 51: 19611108		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 51: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 51: 193000		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 52: 19611110		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 52: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 52: 020734		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 53: 19611123		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 53: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 53: 111728		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 54: 19611129		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 54: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 54: 203809		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 55: 19611209		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 55: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 55: 035855		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 56: 19611224		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 56: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 56: 142531		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 57: 19620102		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 57: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 57: 052341		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 58: 19620125		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 58: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 58: 072604		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 59: 19620301		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 59: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 59: 021237		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 60: 19620312		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 60: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 60: 015237		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 61: 19620319		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 61: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 61: 210416		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 62: 19620322		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 62: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 62: 205036		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 63: 19620418		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 63: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 63: 191437		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 64: 19620715		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 64: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 64: 144350		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 65: 19620725		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 65: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 65: 060515		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 66: 19620725		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 66: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 66: 065556		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 67: 19620824		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 67: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 67: 131537		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 68: 19620830		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 68: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 68: 062228		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 69: 19620909		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 69: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 69: 032156		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 70: 19620920		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 70: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 70: 092526		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 71: 19620922		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 71: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 71: 164531		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 72: 19620928		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 72: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 72: 221452		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 73: 19620929		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 73: 20223006		|
